,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV
67,James Young,2014.0,17.0,77.25,78.75,84.0,104.0,35.5,139.5,28.0,132.0,213.0,5.1,9.0,9.5,9.546875,11.233068181818185,3.292272727272726,31.0,10.7,3.4,1.2,3.3,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.4,0.3,0.1,0.2
68,Jerami Grant,2014.0,39.0,78.5,79.75,86.75,107.0,36.638888888888886,138.64444444444445,30.916666666666668,132.92222222222222,214.0,3.8,9.25,9.25,9.546875,11.233068181818185,3.292272727272726,65.0,21.2,6.3,1.9,5.4,35.2,0.8,2.4,31.4,1.8,3.0,59.1,0.8,2.3,3.0,1.2,0.6,1.1,1.3
69,Johnny O'Bryant,2014.0,36.0,79.25,80.5,86.25,105.0,35.5,140.5,31.0,136.0,257.0,10.8,9.25,9.5,9.546875,11.57,3.45,34.0,10.8,2.9,1.3,3.5,36.7,0.0,0.0,0.0,0.4,0.8,44.4,0.8,1.1,1.9,0.5,0.1,0.1,0.7
70,Jordan Clarkson,2014.0,46.0,75.25,77.0,80.0,98.0,38.5,136.5,33.0,131.0,186.0,4.3,8.25,9.0,9.546875,10.76,3.28,59.0,25.0,11.9,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,0.9,0.2,1.6
71,K.J. McDaniels,2014.0,32.0,76.5,78.0,83.25,102.0,37.0,139.0,33.0,135.0,196.0,4.5,8.75,9.75,9.546875,12.71,3.1,62.0,21.8,7.9,2.8,7.0,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1.0,2.2,3.2,1.2,0.7,1.1,1.7
72,Kyle Anderson,2014.0,30.0,79.5,80.5,86.75,107.5,36.638888888888886,138.64444444444445,30.916666666666668,132.92222222222222,230.0,13.4,8.25,8.75,9.546875,11.233068181818185,3.292272727272726,33.0,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.8,0.5,0.2,0.3
73,Lamar Patterson,2014.0,48.0,76.0,77.25,83.0,101.0,32.5,133.5,27.5,128.5,226.0,10.8,9.0,9.25,9.546875,11.63,3.45,35.0,11.3,2.4,0.8,2.3,35.0,0.3,1.4,24.5,0.5,0.6,72.7,0.1,1.3,1.4,1.1,0.3,0.1,0.7
74,Marcus Smart,2014.0,6.0,74.0,75.25,81.25,99.0,36.0,135.0,33.0,132.0,227.0,10.6,9.0,8.75,9.546875,10.82,3.26,67.0,27.0,7.8,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,0.9,2.4,3.3,3.1,1.5,0.3,1.3
75,Markel Brown,2014.0,44.0,74.5,75.5,80.75,100.0,43.5,143.5,36.5,136.5,184.0,4.2,8.25,9.75,9.546875,12.62,3.18,47.0,16.6,4.6,1.6,4.5,36.2,0.4,1.4,26.6,1.0,1.2,82.5,0.3,1.9,2.3,0.8,0.7,0.3,0.6
76,Noah Vonleh,2014.0,9.0,80.0,81.5,88.25,108.0,37.0,145.0,31.0,139.0,247.0,7.3,9.75,11.75,9.546875,11.45,3.28,25.0,10.4,3.3,1.2,3.0,39.5,0.2,0.5,38.5,0.7,1.0,69.2,1.1,2.3,3.4,0.2,0.2,0.4,0.4
77,P.J. Hairston,2014.0,26.0,76.25,77.25,81.0,101.0,37.0,138.0,32.0,133.0,229.0,8.2,8.75,9.75,9.546875,11.12,3.32,45.0,15.3,5.6,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.5,0.3,0.5
